order	season	episode	character_killed	killer	method	method_cat	reason	location	allegiance	importance
81	2	5	Baratheon of Storm’s End guard	Brienne of Tarth	Sword	Blade	Attacked Brienne after assuming she killed Renly Baratheon	Storm’s End	House Baratheon of Storm’s End	1
82	2	5	The Tickler	Jaqen H’ghar	Unknown	Unknown	Arya Stark orders his death as part of her three deaths from Jaqen	Harrenhal	House Clegane	2
83	2	6	Rodrik Cassel	Theon Greyjoy	Sword	Blade	Refused to stand down when Theon took over Winterfell	Winterfell	House Cassel, House Stark	3
85	2	6	Wildling	Qhorin Halfhand	Sword	Blade	Killed for being a wildling lookout	Beyond the Wall	Free Folk	1
87	2	6	Peasant	Sandor “the Hound” Clegane	Sword	Blade	Killed in a city riot	King’s Landing	Smallfolk	1
88	2	6	Peasant	Sandor “the Hound” Clegane	Sword	Blade	Killed in a city riot	King’s Landing	Smallfolk	1
89	2	6	Peasant	Sandor “the Hound” Clegane	Knife	Blade	Tried to rape Sansa Stark during a city riot	King’s Landing	Smallfolk	1
90	2	6	Peasant	Sandor “the Hound” Clegane	Knife	Blade	Tried to rape Sansa Stark during a city riot	King’s Landing	Smallfolk	1
91	2	6	Peasant	Sandor “the Hound” Clegane	Knife	Blade	Tried to rape Sansa Stark during a city riot	King’s Landing	Smallfolk	1
92	2	6	Amory Lorch	Jaqen H’ghar	Poison dart	Poison	Named by Arya Stark after he finds her with one of Tywin’s letters	Harrenhal	House Lannister	2
93	2	6	Drennan	Osha	Knife	Blade	Killed so that Osha could escape from Winterfell with Bran Stark, Rickon Stark and Hodor	Winterfell	House Greyjoy	2
95	2	7	Alton Lannister	Jaime Lannister	Hands	Hands	Killed in Jaime’s attempt to escape imprisonment	Robb Stark’s camp	House Lannister	2
96	2	7	Torrhen Karstark	Jaime Lannister	Hands	Hands	Killed in Jaime’s attempt to escape imprisonment	Robb Stark’s camp	House Karstark, House Stark	2
97	2	7	The Spice King	Pyat Pree	Knife	Blade	Killed in a coup by Xaro Xhoan Daxos and Pyat Pree	Qarth	The Thirteen	3
98	2	7	The Silk King	Pyat Pree	Knife	Blade	Killed in a coup by Xaro Xhoan Daxos and Pyat Pree	Qarth	The Thirteen	1
99	2	7	The Copper King	Pyat Pree	Knife	Blade	Killed in a coup by Xaro Xhoan Daxos and Pyat Pree	Qarth	The Thirteen	1
100	2	7	Member of the Thirteen	Pyat Pree	Knife	Blade	Killed in a coup by Xaro Xhoan Daxos and Pyat Pree	Qarth	The Thirteen	1
101	2	7	Member of the Thirteen	Pyat Pree	Knife	Blade	Killed in a coup by Xaro Xhoan Daxos and Pyat Pree	Qarth	The Thirteen	1
102	2	7	Member of the Thirteen	Pyat Pree	Knife	Blade	Killed in a coup by Xaro Xhoan Daxos and Pyat Pree	Qarth	The Thirteen	1
103	2	7	Member of the Thirteen	Pyat Pree	Knife	Blade	Killed in a coup by Xaro Xhoan Daxos and Pyat Pree	Qarth	The Thirteen	1
104	2	7	Member of the Thirteen	Pyat Pree	Knife	Blade	Killed in a coup by Xaro Xhoan Daxos and Pyat Pree	Qarth	The Thirteen	1
105	2	7	Member of the Thirteen	Pyat Pree	Knife	Blade	Killed in a coup by Xaro Xhoan Daxos and Pyat Pree	Qarth	The Thirteen	1
106	2	7	Member of the Thirteen	Pyat Pree	Knife	Blade	Killed in a coup by Xaro Xhoan Daxos and Pyat Pree	Qarth	The Thirteen	1
107	2	7	Member of the Thirteen	Pyat Pree	Knife	Blade	Killed in a coup by Xaro Xhoan Daxos and Pyat Pree	Qarth	The Thirteen	1
108	2	7	Billy	Theon Greyjoy	Fire	Fire/Burning	Theon needed to fool everyone into thinking he had killed Bran and Rickon Stark	Winterfell	Smallfolk	2
109	2	7	Jack	Theon Greyjoy	Fire	Fire/Burning	Theon needed to fool everyone into thinking he had killed Bran and Rickon Stark	Winterfell	Smallfolk	2
110	2	9	Matthos Seaworth	Bronn	Wildfire	Fire/Burning	Killed during the Battle of the Blackwater	King’s Landing	House Seaworth, House Baratheon of Dragonstone	3
111	2	9	Baratheon of Dragonstone soldier	Bronn	Wildfire	Fire/Burning	Killed during the Battle of the Blackwater	King’s Landing	House Baratheon of Dragonstone	1
112	2	9	Baratheon of Dragonstone soldier	Bronn	Wildfire	Fire/Burning	Killed during the Battle of the Blackwater	King’s Landing	House Baratheon of Dragonstone	1
113	2	9	Baratheon of Dragonstone soldier	Bronn	Wildfire	Fire/Burning	Killed during the Battle of the Blackwater	King’s Landing	House Baratheon of Dragonstone	1
