GeneName	padj	log2FoldChange
Slc40a1	0.14607210760350622	0.48437580544904013
Dnah7b	0.5534948790548886	0.5659732754835741
Gm8326	0.9468860422583745	0.0538183510290096
Slc39a10	0.7165740406142356	0.1639440090721486
Gm28151	0.927518088722841	-0.06690967697342669
Gm8337	0.993164247055654	0.0051935773622607435
Tmeff2	0.4506786658633923	0.3945964186499232
Sdpr	0.7570424745868444	-0.09372441915087687
Nabp1	3.5127780319632195e-11	-1.324581368918581
Gm17767	2.8994380812745273e-4	-2.960883491742793
Myo1b	0.5397457595793363	0.2309944018212766
Gm28177	0.8431511108826759	0.05710613681548354
Stat1	0.6365806258469433	0.12112056776940895
Gls	0.534525845965247	0.2909557776352015
Nab1	0.5109373609634673	0.28929934003874413
Tmem194b	0.897339474910579	0.10892503759777093
Mfsd6	0.12972093066265877	0.4576654102477188
Inpp1	0.7902315754793618	0.10574422323818525
Hibch	0.3855333163040659	0.27250261941522014
1700019D03Rik	0.2673220131405952	0.6582803736793632
Mstn	0.23963641532998226	0.5124219554108713
Pms1	0.6174222320174235	0.28442200105851323
Ormdl1	0.592944626476349	0.2617973350029439
Gm28778	0.026901702917622623	0.4827257875331193
Osgepl1	0.39508975382912576	0.30574411323417716
Gm28551	0.12387160443432814	0.5034587651281337
Gm18800	0.777222244083143	0.28215831036330946
Asnsd1	0.099088167494699	0.5055791669931823
Stk17b	0.9554624417528941	-0.03256238510638335
Hecw2	0.45268619620688055	0.4551308865462896
Gtf3c3	0.6222156273665518	0.21288820538122036
Pgap1	0.7035110772440125	0.2421366356849374
Ankrd44	0.2702411321879627	0.5141632165025924
Sf3b1	0.6303910869671434	0.22636223405952965
Coq10b	0.6207313126389271	0.7168823981869322
Gm17971	0.7114843402429517	0.41447605585995284
Hspd1	0.4497690961819099	0.3040250963430745
Hspe1	0.11614282487804091	0.46054358576475757
Gm16581	0.8550520750722516	-0.1742061930409
Mob4	0.854501358198966	0.10046065724261677
Gm6822	0.7786298303599697	0.18946561373512105
